"Date" "EurUsd" "UsdJpy" "GbpUsd"
"2003-12-01" 1.19650137424469 109.169998168945 1.71859693527222
"2003-12-02" 1.20889747142792 108.730003356934 1.73031342029572
"2003-12-03" 1.21229755878448 108.300003051758 1.72810053825378
"2003-12-04" 1.20809423923492 108.269996643066 1.72069656848907
"2003-12-05" 1.21869468688965 107.620002746582 1.73310220241547
"2003-12-08" 1.22200095653534 107.410003662109 1.73421430587769
"2003-12-09" 1.22499477863312 107.089996337891 1.74541401863098
"2003-12-10" 1.21909594535828 108.379997253418 1.73979616165161
"2003-12-11" 1.22240424156189 107.980003356934 1.74620640277863
"2003-12-12" 1.22789776325226 107.680000305176 1.74730491638184
"2003-12-15" 1.2319974899292 107.73999786377 1.74730491638184
"2003-12-16" 1.23219478130341 107.51000213623 1.75420129299164
"2003-12-17" 1.2402024269104 107.379997253418 1.76550555229187
"2003-12-18" 1.24229776859283 107.650001525879 1.7710086107254
"2003-12-19" 1.23849737644196 107.709999084473 1.76519381999969
"2003-12-22" 1.23989486694336 107.48999786377 1.76429080963135
"2003-12-23" 1.24000251293182 107.430000305176 1.76419746875763
"2003-12-24" 1.24529898166656 107.26000213623 1.77559971809387
"2003-12-25" 1.24480295181274 107.23999786377 1.77541053295135
"2003-12-26" 1.24319350719452 107.449996948242 1.77201282978058
"2003-12-29" 1.24839270114899 107.050003051758 1.77449703216553
"2003-12-30" 1.25489401817322 106.959999084473 1.77799892425537
"2003-12-31" 1.25900185108185 107.400001525879 1.78881275653839
"2004-01-01" 1.25819396972656 107.300003051758 1.78520429134369
"2004-01-02" 1.25819396972656 106.910003662109 1.7936897277832
"2004-01-05" 1.26869750022888 106.23999786377 1.80720710754395
"2004-01-06" 1.27210283279419 106.230003356934 1.82129466533661
"2004-01-07" 1.26409471035004 106.180000305176 1.81778526306152
"2004-01-08" 1.27749812602997 106.169998168945 1.83388662338257
"2004-01-09" 1.28589248657227 106.580001831055 1.84808719158173
"2004-01-12" 1.27409625053406 106.599998474121 1.84559726715088
"2004-01-13" 1.27859258651733 106.23999786377 1.84880483150482
"2004-01-14" 1.26510214805603 106.23999786377 1.83170318603516
"2004-01-15" 1.26009654998779 106.269996643066 1.8251838684082
"2004-01-16" 1.23980259895325 106.75 1.79901421070099
"2004-01-19" 1.23540675640106 107.230003356934 1.78329408168793
"2004-01-20" 1.25890672206879 107 1.81881010532379
"2004-01-21" 1.26590287685394 106.809997558594 1.83281099796295
"2004-01-22" 1.27250754833221 106.129997253418 1.8436918258667
"2004-01-23" 1.25830483436584 106.75 1.82778596878052
"2004-01-26" 1.24879801273346 106.349998474121 1.81501376628876
"2004-01-27" 1.26369535923004 105.629997253418 1.82668423652649
"2004-01-28" 1.24419891834259 106.129997253418 1.8151125907898
"2004-01-29" 1.24100267887115 105.910003662109 1.81709158420563
"2004-01-30" 1.24680507183075 105.720001220703 1.82528376579285
"2004-02-02" 1.24330163002014 105.519996643066 1.82159316539764
"2004-02-03" 1.25349402427673 105.470001220703 1.83789753913879
"2004-02-04" 1.25399708747864 105.449996948242 1.83220648765564
"2004-02-05" 1.25719749927521 105.639999389648 1.83621001243591
"2004-02-06" 1.27000248432159 105.449996948242 1.8475067615509
"2004-02-09" 1.26940608024597 105.819999694824 1.85970389842987
"2004-02-10" 1.26850426197052 105.580001831055 1.86730909347534
"2004-02-11" 1.28300523757935 105.339996337891 1.89250564575195
"2004-02-12" 1.28180480003357 105.300003051758 1.89300727844238
"2004-02-13" 1.27279901504517 105.199996948242 1.885298371315
"2004-02-16" 1.27650344371796 105.449996948242 1.8887882232666
"2004-02-17" 1.28579330444336 105.610000610352 1.90559661388397
"2004-02-18" 1.27250754833221 106.339996337891 1.89261305332184
"2004-02-19" 1.2757054567337 106.910003662109 1.89919102191925
"2004-02-20" 1.25420153141022 108.949996948242 1.86198925971985
"2004-02-23" 1.25719749927521 108.300003051758 1.86839044094086
"2004-02-24" 1.26779663562775 108.199996948242 1.89000189304352
"2004-02-25" 1.24970328807831 108.970001220703 1.87230861186981
"2004-02-26" 1.24480295181274 109.480003356934 1.86330783367157
"2004-02-27" 1.24940657615662 109.25 1.86950826644897
"2004-03-01" 1.24480295181274 108.910003662109 1.86790204048157
"2004-03-02" 1.22040510177612 110.150001525879 1.83820152282715
"2004-03-03" 1.21909594535828 110.110000610352 1.82758557796478
"2004-03-04" 1.220703125 111.25 1.8229877948761
"2004-03-05" 1.23679721355438 112 1.84539294242859
"2004-03-08" 1.24260652065277 111.290000915527 1.85270965099335
"2004-03-09" 1.23190641403198 111.459999084473 1.82608377933502
"2004-03-10" 1.22319674491882 110.889999389648 1.80339395999908
"2004-03-11" 1.23510158061981 110.830001831055 1.8101841211319
"2004-03-12" 1.22240424156189 110.650001525879 1.80410981178284
"2004-03-15" 1.22720468044281 110.309997558594 1.80489110946655
"2004-03-16" 1.2261061668396 108.709999084473 1.81320381164551
"2004-03-17" 1.22270309925079 108.26000213623 1.81679451465607
"2004-03-18" 1.23889648914337 106.790000915527 1.8354012966156
"2004-03-19" 1.2269035577774 106.660003662109 1.83418929576874
"2004-03-22" 1.23459839820862 106.76000213623 1.8475067615509
"2004-03-23" 1.23450696468353 106.76000213623 1.85209202766418
"2004-03-24" 1.21390163898468 106.400001525879 1.82528376579285
"2004-03-25" 1.21369528770447 106.129997253418 1.8079913854599
"2004-03-26" 1.21269452571869 106.180000305176 1.81768620014191
"2004-03-28" 1.21660423278809 105.459999084473 1.81960439682007
"2004-03-29" 1.21850168704987 105.839996337891 1.82758557796478
