"","symbol","date","open","high","low","close","volume","adjusted"
"1","^IBEX",2000-01-03,11641.400390625,11881.7998046875,11574.400390625,11610,0,11609.98828125
"2","^IBEX",2000-01-04,11530,11530,11159.7998046875,11206.599609375,0,11206.587890625
"3","^IBEX",2000-01-05,11068.099609375,11068.099609375,10824.900390625,10863.099609375,0,10863.0888671875
"4","^IBEX",2000-01-07,10882.7001953125,11137.900390625,10882.7001953125,11102.400390625,0,11102.388671875
"5","^IBEX",2000-01-10,11120.599609375,11364.2998046875,11120.599609375,11173.2998046875,0,11173.2880859375
"6","^IBEX",2000-01-11,11173.2998046875,11234.599609375,10919.900390625,11012.400390625,0,11012.3896484375
"7","^IBEX",2000-01-12,10947.099609375,10947.099609375,10821.400390625,10851.7998046875,0,10851.7890625
"8","^IBEX",2000-01-13,10851.7998046875,11169.7998046875,10827.599609375,10931.900390625,0,10931.8896484375
"9","^IBEX",2000-01-14,10976.2998046875,11212.099609375,10976.2998046875,11184,0,11183.98828125
"10","^IBEX",2000-01-17,11191.5,11394.2001953125,11191.5,11285.599609375,0,11285.587890625
"11","^IBEX",2000-01-18,11285.599609375,11355.400390625,11032.5,11066.2998046875,0,11066.2890625
"12","^IBEX",2000-01-19,11066.2998046875,11134.400390625,10931.599609375,11120.7001953125,0,11120.6884765625
"13","^IBEX",2000-01-20,11120.7001953125,11258.099609375,10970.400390625,11047.599609375,0,11047.5888671875
"14","^IBEX",2000-01-21,11047.599609375,11073.900390625,10904.400390625,10969.2998046875,0,10969.2890625
"15","^IBEX",2000-01-24,10969.2998046875,11142.2001953125,10908.7998046875,10955,0,10954.9892578125
"16","^IBEX",2000-01-25,10901.5,10901.5,10808.7998046875,10863.5,0,10863.4892578125
"17","^IBEX",2000-01-26,10923.599609375,11044.2998046875,10923.599609375,11031.400390625,0,11031.3896484375
"18","^IBEX",2000-01-27,11084.2001953125,11293.599609375,11084.2001953125,11206.599609375,0,11206.587890625
"19","^IBEX",2000-01-28,11206.599609375,11310.900390625,10987.5,11009.2998046875,0,11009.2890625
"20","^IBEX",2000-01-31,10960,10960,10770.5,10835.099609375,0,10835.0888671875
"21","^IBEX",2000-02-01,10840,10987.900390625,10840,10970,0,10969.9892578125
"22","^IBEX",2000-02-02,10970,11215.7998046875,10926.7001953125,11195.599609375,0,11195.587890625
"23","^IBEX",2000-02-03,11208.900390625,11564.5,11208.900390625,11544.099609375,0,11544.087890625
"24","^IBEX",2000-02-04,11544.099609375,11704.900390625,11510.7001953125,11580.099609375,0,11580.087890625
"25","^IBEX",2000-02-07,11580.099609375,11708.7001953125,11469,11506.7998046875,0,11506.7880859375
"26","^IBEX",2000-02-08,11506.7998046875,11834.7998046875,11492,11834.7998046875,0,11834.7880859375
"27","^IBEX",2000-02-09,11851.099609375,12102.7998046875,11851.099609375,11939.5,0,11939.48828125
"28","^IBEX",2000-02-10,11939.5,12067.599609375,11757.7998046875,12020.599609375,0,12020.587890625
"29","^IBEX",2000-02-11,12133.7998046875,12463.7001953125,12133.7998046875,12432.599609375,0,12432.5869140625
"30","^IBEX",2000-02-14,12432.599609375,12912.2998046875,12333.5,12458.599609375,0,12458.5869140625
"31","^IBEX",2000-02-15,12458.599609375,12633.2001953125,12144.400390625,12165.099609375,0,12165.0869140625
"32","^IBEX",2000-02-16,12165.099609375,12390.5,12089.900390625,12235.099609375,0,12235.0869140625
"33","^IBEX",2000-02-17,12235.099609375,12418.7998046875,12126,12326.7001953125,0,12326.6875
"34","^IBEX",2000-02-18,12326.7001953125,12474.099609375,12323.7998046875,12368,0,12367.9873046875
"35","^IBEX",2000-02-21,12292.7998046875,12292.7998046875,12112.900390625,12260.2998046875,0,12260.287109375
"36","^IBEX",2000-02-22,12260.2998046875,12411.2001953125,12053.900390625,12076.900390625,0,12076.8876953125
"37","^IBEX",2000-02-23,12119.2998046875,12318.2001953125,12119.2998046875,12312.2998046875,0,12312.287109375
"38","^IBEX",2000-02-24,12312.2998046875,12572.900390625,12312.099609375,12352.2998046875,0,12352.287109375
"39","^IBEX",2000-02-25,12456.2001953125,12695,12456.2001953125,12690.900390625,0,12690.8876953125
"40","^IBEX",2000-02-28,12690.900390625,12710.5,12372.2998046875,12467,0,12466.9873046875
"41","^IBEX",2000-02-29,12499.7001953125,12625.900390625,12499.7001953125,12585.7998046875,0,12585.787109375
"42","^IBEX",2000-03-01,12585.7998046875,12702.400390625,12500.900390625,12538.7001953125,0,12538.6875
"43","^IBEX",2000-03-02,12538.7001953125,12711.599609375,12450.2001953125,12709.599609375,0,12709.5869140625
"44","^IBEX",2000-03-03,12709.599609375,12864.7998046875,12315.2998046875,12745,0,12744.9873046875
"45","^IBEX",2000-03-06,12745,12852.900390625,12678.5,12816.7998046875,0,12816.787109375
"46","^IBEX",2000-03-07,12816.7998046875,12968.5,12654.2001953125,12667.2001953125,0,12667.1875
