"dateid01","br","ffr","inf"
11/1/2013,0.58,0.08,1.2343
12/1/2013,0.69,0.09,1.5032
1/1/2014,0.78,0.07,1.6159
2/1/2014,0.69,0.07,1.1467
3/1/2014,0.82,0.08,1.5713
4/1/2014,0.88,0.09,1.9972
5/1/2014,0.83,0.09,2.0976
6/1/2014,0.9,0.1,1.9834
7/1/2014,0.97,0.09,1.9286
8/1/2014,0.93,0.09,1.6716
9/1/2014,1.05,0.09,1.6361
10/1/2014,0.88,0.09,1.6078
11/1/2014,0.96,0.09,1.272
12/1/2014,1.06,0.12,0.6654
1/1/2015,0.9,0.11,-0.2007
2/1/2015,0.99,0.11,-0.0777
3/1/2015,1.02,0.11,0.0047
4/1/2015,0.87,0.12,-0.1142
5/1/2015,0.98,0.12,0.0249
6/1/2015,1.07,0.13,0.1644
7/1/2015,1.03,0.13,0.1902
8/1/2015,1.03,0.14,0.2337
9/1/2015,1.01,0.14,-0.008
10/1/2015,0.93,0.12,0.1203
11/1/2015,1.2,0.12,0.4355
12/1/2015,1.28,0.24,0.6564
1/1/2016,1.14,0.34,1.3501
2/1/2016,0.9,0.38,0.9799
3/1/2016,1.04,0.36,0.8813
4/1/2016,0.92,0.37,1.1395
5/1/2016,0.97,0.37,1.0377
6/1/2016,0.86,0.38,1.0154
7/1/2016,0.79,0.39,0.8464
8/1/2016,0.85,0.4,1.0782
9/1/2016,0.9,0.4,1.4793
10/1/2016,0.99,0.4,1.6276
11/1/2016,1.22,0.41,1.6846
12/1/2016,1.49,0.54,2.0701
