obs,DCRED,DINF,DM1,DPROD,DSPCRED,DSPR,DENERO,DFEB1998,DFEB2003,R_MICROSOFT,R_SP500,R_USTB3M
1986M03,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.584166666666667
1986M04,6281.10999999999,NA,-2.49,-0.116199999999999,-0.0999999999999999,-0.109999999999999,0,0,0,15.9332038569256,-1.42492187912524,0.541666666666667
1986M05,6162.22999999998,0.459854936108678,-0.450000000000003,-0.462100000000007,-0.2,0.26,0,0,0,8.18300182476322,4.90085021332061,0.524166666666667
1986M06,4235.87,0.273589687856098,2.61000000000001,1.2281,0.01,0.46,0,0,0,-12.9458067236887,1.40109480011025,0.551666666666667
1986M07,5095.12000000011,-0.549451931764067,-3.27,-1.8696,0.0700000000000001,-0.4,0,0,0,-7.5985906977922,-6.04751353023314,0.511666666666667
1986M08,3753.43999999994,0.182481802462908,-0.530000000000001,1.6219,0.18,0.2,0,0,0,0,6.87726202302054,0.5
1986M09,7118.77000000002,0.272271141300047,-2.9,0.641500000000001,-0.15,0.419999999999999,0,0,0,-0.881062968215489,-8.93107373126765,0.445833333333333
1986M10,7764.13,-0.364049989698693,0.800000000000001,-0.206800000000001,0.0700000000000001,0.27,0,0,0,31.6037298206906,5.32842214305741,0.444166666666667
1986M11,-19.9899999999907,-8.21957104395893e-05,-0.280000000000001,-0.500599999999999,0.01,-0.199999999999999,0,0,0,24.9879707805246,2.12497857941299,0.450833333333333
1986M12,982.939999999944,-8.20468725706569e-05,0.00999999999999801,0.255400000000002,0.0899999999999999,-0.380000000000001,0,0,0,-3.06146358196068,-2.86960816423111,0.464166666666667
1987M01,-1482.76000000001,0.5409473743862,0.989999999999998,0.508800000000001,-0.12,-0.119999999999999,1,0,0,41.57060993609,12.3780075703399,0.483333333333333
1987M02,-735.179999999935,-0.272419272794591,-0.169999999999998,1.4075,-0.0900000000000001,0.0399999999999991,0,0,0,4.84514593214119,3.62581810871905,0.481666666666667
1987M03,-1334.63,0.087961200017505,-0.140000000000001,-0.0211000000000041,-0.02,0.0300000000000002,0,0,0,23.1576945442585,2.60476612106755,0.475833333333333
1987M04,5203.75,0.0867810836712677,1.21,-0.814799999999998,-0.0600000000000001,0.350000000000001,0,0,0,7.22605672314815,-1.15161773372978,0.478333333333333
1987M05,2068.60999999999,-0.179512889127214,2.72,0.563900000000004,-0.01,0.63,0,0,0,10.2712782735385,0.601599159098051,0.489166666666667
1987M06,4427.46999999997,-0.00125082769616841,0.780000000000001,1.92439999999999,0.02,0.24,0,0,0,-12.2130868592487,4.68020102788633,0.490833333333333
1987M07,4762.29000000004,-0.0890769028609364,-0.980000000000004,-1.93239999999999,-0.01,-0.200000000000001,0,0,0,-8.16780310142672,4.70970022561412,0.488333333333333
1987M08,4565.34999999998,0.26188724826939,1.33000000000001,2.3157,-0.0599999999999998,0.2,0,0,0,23.3725660644747,3.43617064631357,0.505
1987M09,3986.02000000002,-0.0027507835914562,1.86,0.311599999999999,0,0.0800000000000001,0,0,0,-58.3584978048419,-2.44629543064861,0.534166666666667
1987M10,4973.29999999993,-0.262575050578924,2.43,0.771799999999999,-0.03,-0.0200000000000005,0,0,0,-28.642500126173,-24.5428049056167,0.571666666666667
1987M11,3525.58000000007,-0.173837211277733,-4.68,-0.525999999999996,0.12,0.28,0,0,0,-10.5919018883737,-8.92125999362063,0.484166666666667
1987M12,1608.72999999998,-0.0866926798985919,0.159999999999997,-0.209500000000006,-0.04,0.360000000000001,0,0,0,19.2511547699705,7.03293640010589,0.465833333333333
1988M01,5952.18000000005,0.259628012563168,0.610000000000007,0.774000000000001,0.01,-0.470000000000001,1,0,0,2.72744179196592,3.96362505214387,0.494166666666667
1988M02,4116.33999999997,-0.000672321889794714,-2.11,0.718699999999998,0.03,-0.580000000000001,0,0,0,6.30800589953856,4.0966691718283,0.488333333333333
1988M03,4313.91000000003,0.171152499265688,-0.480000000000004,0.038800000000009,-0.04,0.0300000000000011,0,0,0,-4.97168311832185,-3.39118520076097,0.483333333333333
1988M04,5166.84999999998,0.0835915698525865,1.17,-0.533500000000004,0.05,0.29,0,0,0,-3.60399364831969,0.938071543909984,0.4925
