HDI,LifExp,Educ,GNIpc
0.512,67.94,8.58486,3309.385734
0.511,64.83,10.17643,2229.362021
0.51,64,9.7,1708.809043
0.51,65.31,7.884416,3828.660219
0.496,62.05,9.911519,2167.883472
0.485,66.6,8.813018308,2206.534378
0.483,64.26,11.24191,1034.677638
0.48,60.68,9.729686667,1062.543004
0.48,58.32,10.62385,1996.042927
0.48,64.1,9.57967,1258.410853
0.477,61.6,9.408505,2405.181497
0.47,66.13,8.76899,1593.704031
0.459,66.32,5.0052837,2793.482718
0.456,60.85,9.97402,1250.405688
0.452,61.58,9.27373,2132.95557
0.452,54.7,10.17593,1667.844447
0.434,59.31,7.46103,2268.77278
0.433,61.58,11.06933,753.9087475
0.433,57.85,5.296258,2003.318894
0.398,54.24,7.34935,1555.373575
0.397,53.28,7.56836,993.0088419
0.394,62.42,6.47145,1200.898463
