HDI_group;Country;HDI;LifExp;Educ;GNIpc;Pop;PopUrbRat;PopL5;PopB1564;PopG65;DepRatB014;DepRatG65;FertRat;EmpRat;LFPRat;EmpAgrRat;EmpServRat;UnempRat;UnempRatB1524;NINIsRatB1524;HiSkLoSkEmpRat
3;Sri Lanka;0.7801;76.8120;11.0518;11610.9082;21.2288;18.5000;1.6902;13.8687;2.2233;37.0380;16.0310;2.2102;50.2000;52.5000;25.9000;45.8000;4.4000;23.2000;27.0900;0.9102
3;Cuba;0.7777;78.7260;11.7508;7811.3582;11.3381;77.0000;0.6084;7.7782;1.7218;23.6310;22.1370;1.6166;52.4000;53.6000;18.3000;64.9000;2.3000;5.7000;;3.9869
3;Saint Kitts and Nevis;0.7768;74.5640;8.5000;26770.0727;0.0524;30.8000;;;;;;;;;;;;;;
3;Antigua and Barbuda;0.7762;76.8850;9.2631;22201.2294;0.0963;24.6000;0.0074;0.0666;0.0085;31.9460;12.7310;2.0000;;;;;;;;
3;Bosnia and Herzegovina;0.7692;77.2620;9.6929;12689.6808;3.3239;48.2000;0.1415;2.2856;0.5475;21.4740;23.9520;1.2700;37.1000;46.8000;16.5000;53.7000;20.8000;46.7000;24.2800;2.0690
3;Mexico;0.7674;74.9920;8.6009;17628.1173;126.1908;80.2000;11.1386;83.5629;9.1156;40.1040;10.9090;2.1400;59.1000;61.1000;13.0000;61.1000;3.3000;6.8000;18.4300;0.9919
3;Thailand;0.7646;76.9310;7.7314;16128.5477;69.4285;49.9000;3.6924;49.3026;8.2626;24.0620;16.7590;1.5346;67.1000;67.5000;30.7000;45.8000;0.7000;3.5000;14.9700;1.2663
3;Grenada;0.7634;72.3840;8.8000;12683.8339;0.1115;36.3000;0.0091;0.0745;0.0107;35.2630;14.4000;2.0732;;;;;;;;
3;Brazil;0.7612;75.6720;7.8410;14068.0477;209.4693;86.6000;14.6543;146.0904;18.6906;30.5900;12.7940;1.7400;55.9000;64.0000;9.4000;70.2000;12.5000;28.6000;24.1600;1.3495
3;Colombia;0.7609;77.1090;8.3266;12895.5949;49.6610;80.8000;3.7299;33.9900;4.2103;33.7180;12.3870;1.8200;63.6000;70.0000;16.4000;64.3000;9.1000;19.0000;22.9100;1.2009
