obs XGS XTW REER
1995Q1 48.410743 45.155792276964 99.357956
1995Q2 48.61508 45.9611185086551 101.80664
1995Q3 47.912793 46.4500665778961 102.685186666667
1995Q4 49.820392 47.1115845539281 103.358066666667
1996Q1 51.733519 48.434620505992 104.509946666667
1996Q2 52.30292 49.0098535286285 103.70281
1996Q3 54.422381 49.9014647137151 103.425056666667
1996Q4 55.654101 51.051930758988 102.430053333333
1997Q1 56.275796 52.1448735019973 100.976446666667
1997Q2 60.684556 53.9568575233023 99.712111
1997Q3 64.292545 55.2223701731025 98.4598223333333
1997Q4 64.112659 55.7400798934754 99.13556
1998Q1 65.236498 56.6029294274301 98.6446636666667
1998Q2 66.376296 56.7179760319574 98.8865623333333
1998Q3 66.746858 56.6604527296938 100.074935333333
1998Q4 66.720925 57.3219707057257 100.295276666667
1999Q1 69.416001 58.0122503328895 99.9910383333333
1999Q2 70.363324 59.4790945406125 99.0940356666667
1999Q3 72.164578 60.9747003994674 99.1537713333333
1999Q4 74.355401 63.160585885486 98.310486
2000Q1 76.7223 65.5666666666667 98.0717226666667
2000Q2 78.334957 67.5666666666667 97.5801583333333
2000Q3 79.399435 69.2 98.0362956666667
2000Q4 81.857105 70.6333333333333 97.5772
2001Q1 83.76526 69.9 99.1583413333333
2001Q2 81.600316 68.4 98.8086923333333
2001Q3 81.441485 67.1666666666667 98.9781226666666
2001Q4 81.132548 66.9333333333333 99.7115446666667
2002Q1 81.04739 68.1333333333333 99.72799
2002Q2 83.289712 69.7 101.241873333333
2002Q3 82.621701 71.1 101.90333
2002Q4 85.463175 71.8 102.82602
2003Q1 85.228562 72.6333333333333 103.966723333333
2003Q2 86.121138 72.7333333333333 105.396113333333
2003Q3 85.256201 73.9666666666667 105.46783
2003Q4 87.181655 77.2 106.06736
2004Q1 88.885598 79.1 106.134796666667
2004Q2 89.502086 81.2666666666667 106.34901
2004Q3 89.535962 81.9333333333333 107.000036666667
2004Q4 90.482225 83.9333333333333 108.030293333333
2005Q1 89.161545 84.2666666666667 108.12754
2005Q2 92.476853 86.7666666666667 108.304356666667
2005Q3 91.443842 87.2 108.515456666667
2005Q4 91.672276 90.1 108.863513333333
2006Q1 94.087333 92.5333333333333 109.656323333333
2006Q2 95.587569 94.2 110.334033333333
2006Q3 94.66748 94.8333333333333 110.66636
2006Q4 98.412309 97.1 110.645886666667
2007Q1 102.484733 98.3666666666667 110.828953333333
2007Q2 102.861902 99.2666666666667 111.427186666667
2007Q3 104.486675 100.533333333333 111.86576
2007Q4 104.515434 101.733333333333 113.238893333333
2008Q1 104.533023 103.2 114.298063333333
2008Q2 105.641943 102.633333333333 115.055103333333
2008Q3 105.145256 102.333333333333 114.968863333333
2008Q4 95.518096 94.5333333333333 113.436826666667
2009Q1 89.062852 84.4 113.6998
2009Q2 90.262351 84.7 113.533936666667
2009Q3 93.273589 88.7666666666667 114.174556666667
2009Q4 92.952499 93.1666666666667 114.490566666667
2010Q1 95.957296 96.1 113.143816666667
2010Q2 98.600913 99.5666666666667 111.949963333333
2010Q3 100.826441 101 112.0811
2010Q4 104.615351 103.333333333333 112.850746666667
2011Q1 107.974575 104.566666666667 113.148316666667
2011Q2 106.254779 104.066666666667 113.925846666667
2011Q3 107.466962 105.3 113.079816666667
2011Q4 107.928802 104.966666666667 112.223786666667
2012Q1 107.618999 105.3 111.41142
2012Q2 106.729299 106.233333333333 111.321876666667
2012Q3 109.538851 106.5 111.012846666667
2012Q4 110.312126 106.4 111.824773333333
2013Q1 111.421633 107.866666666667 113.132053333333
2013Q2 114.091708 108.033333333333 113.104546666667
2013Q3 113.279215 108.433333333333 113.55258
2013Q4 114.007117 109.466666666667 113.369786666667
2014Q1 116.144219 110.2 113.32607
2014Q2 116.657366 110.333333333333 112.881946666667
2014Q3 119.340664 111.8 111.991133333333
2014Q4 119.870921 113.066666666667 111.181363333333
2015Q1 121.454092 113.733333333333 109.542456666667
2015Q2 122.490369 112.533333333333 109.203396666667
2015Q3 125.195474 113.733333333333 108.877903333333
2015Q4 125.823974 114.5 108.333066666667
2016Q1 126.082433 114.633333333333 108.51193
2016Q2 130.392538 114.266666666667 108.661253333333
2016Q3 128.776918 114.933333333333 108.940803333333
2016Q4 131.394801 116.566666666667 109.283186666667
2017Q1 NA 118.760133333333 107.20978684
2017Q2 NA 118.380266666667 107.357318293333
2017Q3 NA 119.070933333333 107.633513693333
2017Q4 NA 120.763066666667 107.971788426667
2018Q1 NA 123.391778533333 107.20978684
2018Q2 NA 122.997097066667 107.357318293333
2018Q3 NA 123.714699733333 107.633513693333
2018Q4 NA 125.472826266667 107.971788426667
2019Q1 NA 127.957274339067 107.31699662684
2019Q2 NA 127.547989658133 107.464675611627
2019Q3 NA 128.292143623467 107.741147207027
2019Q4 NA 130.115320838533 108.079760215093
2020Q1 NA 132.819650763951 107.638947616721
2020Q2 NA 132.394813265142 107.787069638462
2020Q3 NA 133.167245081158 108.064370648648
2020Q4 NA 135.059703030398 108.403999495739
