date,PCR,HDYR,FWR,CPE,NFWR,HCOCR,ERX
1995Q1,66.9169,71.4043786030551,81.3888891444743,5.08999914692752,33.2071252078844,45.1407423990809,76.7712683067885
1995Q2,68.0361,71.7940540350482,82.6759735849338,5.1517041320596,33.3674426205998,45.249884325953,77.0588085304828
1995Q3,68.2965,72.250498345054,84.6394145808523,5.24079427157135,33.5384443034081,45.3020965998455,77.1880198584528
1995Q4,68.8748,72.6609371999527,90.9616477559496,5.24227419218446,33.5121890018996,45.1625638496831,77.3918412721835
1996Q1,68.4761,73.0488940752352,89.3703304474734,5.29804558730993,33.555107808534,44.838514747665,77.4787648867579
1996Q2,69.8198,73.1242544426762,90.8842303742537,5.37057398434588,33.5420966467802,45.4721981501689,77.7222171053071
1996Q3,70.1157,73.540650481806,90.6221125179722,5.4410722340357,33.6077104286173,45.5976982527371,78.071155997507
1996Q4,70.4004,73.7734391294844,96.7711381351466,5.44274122468265,33.7014120261377,45.9626797344214,78.4146207579611
1997Q1,70.9321,74.5750957704697,99.3564600439192,5.42961413503049,33.9535686827668,46.2668121541603,78.7990923624599
1997Q2,70.9567,75.1749740517468,107.009488208063,5.48597066070813,34.2551114423551,46.3471487023585,79.1463583041909
1997Q3,71.2853,75.7654589713629,111.030295363141,5.5656286608501,34.450284017361,47.3019440137989,79.6011252315509
1997Q4,73.6129,76.2727082539974,109.822433453495,5.55617735686612,34.6697365532569,46.7681728154445,80.0119680484784
1998Q1,73.4296,76.5969502340243,123.662992701447,5.52500977276204,35.0215824345414,47.6818788645293,80.5314904908374
1998Q2,74.5476,77.9216857718624,124.90729373577,5.60528289800838,35.7380899580519,48.1800331436421,80.9531229120775
1998Q3,74.9606,78.1083961673599,114.438546748789,5.66283742101139,36.4474332681501,49.5479113649225,81.6856324542089
1998Q4,76.5963,79.3514287681308,128.421591167318,5.67568235352254,37.2973614028008,51.5567462231799,82.4206572279057
1999Q1,76.7402,80.5767895126381,127.418680191249,5.66410670978173,38.1967825069422,53.941580109866,83.3517150302522
1999Q2,78.0371,81.6987554106407,129.453438376486,5.7079320385243,39.2784279592614,55.7487885675319,84.16232941714
1999Q3,79.2657,83.6339319273249,128.849621799782,5.76786771380086,40.4198473762292,57.3780076030643,84.7254050684651
1999Q4,80.1265,84.6956553446982,134.783363511496,5.77461497113744,41.793245190376,59.5235608438246,85.2042819841875
2000Q1,81.3552,86.1721196470245,133.318473312529,5.82996602075489,42.9871568373043,61.3501808953094,85.5630006068564
2000Q2,81.7588,87.294013278687,130.939991734801,5.87411582252147,44.4539574505672,63.4811503295499,85.9970648131501
2000Q3,82.7578,88.3588276839747,128.660584787568,5.94664526677367,46.0061030655734,63.6179746881178,86.3334113267139
2000Q4,82.6232,89.0134854992251,124.685797475866,5.93021190955369,47.3913415097771,64.0210021651081,86.6183444277628
2001Q1,83.7855,89.5984236656653,127.765419514754,6.01294408650794,49.0975501408404,64.0781224211368,86.7727235737127
2001Q2,84.894,90.2680181372564,122.548582250709,6.08572781237481,50.7424978483314,64.0804955409046,86.9115056929185
2001Q3,86.064,91.1193582840188,115.833795457875,6.18423524311827,52.398678128047,64.0347322049717,87.2320015136182
2001Q4,85.9908,91.8823764721115,124.576664703068,6.17251888736264,54.326002841619,64.9551386656563,87.604957218625
2002Q1,86.9861,92.0813620328092,123.007841037755,6.21874201697369,56.4550420026033,65.1895929798876,88.1856460525211
2002Q2,87.3376,92.584974687154,118.982637120362,6.29106955301946,57.5291843881202,66.4602860560557,88.5629247077242
2002Q3,88.0715,93.3196561938533,113.48018585226,6.39559562083675,61.0337810379683,68.1853142274654,88.6700835769439
2002Q4,88.5577,94.0645487033666,112.785500761218,6.40998454640583,63.1436868765659,69.7045645568708,88.7822356628109
2003Q1,88.359,95.0947366726072,112.834425650528,6.43816017360469,65.2920892634512,72.0217435579296,88.5053217220432
2003Q2,89.2917,96.7725407316418,118.803148473457,6.52096403249731,68.0078386282826,73.9598903994324,88.5629214632952
2003Q3,90.2167,97.3713647690129,117.511081172107,6.60080738021377,70.7621642014781,76.2664878366733,88.4917170015321
2003Q4,91.4485,98.4566067606105,123.486879615975,6.63228212316731,73.9492357247622,78.0947057978423,88.4955598131295
2004Q1,92.0023,99.5078479904977,122.315254378482,6.64699211470485,76.3806285278414,80.0885312844766,88.6261594565791
2004Q2,93.1005,99.356575233507,121.609838781175,6.75112247195476,79.1417030017013,81.865668654559,88.6853422215936
2004Q3,93.9105,100.018717069825,118.984069342618,6.80787730641854,82.2870656245364,83.6005688751485,89.1761985608542
2004Q4,94.7879,101.102386650994,126.454305507087,6.84775344687753,86.0218015191051,85.2407114182267,89.6496797609731
2005Q1,95.6751,101.776337983269,127.932101155371,6.87734422749059,89.2165291365632,86.8220472619643,90.3014979572091
2005Q2,96.8801,102.57901445273,132.847721509695,6.99094404372279,92.8786964874344,87.8700823613167,90.8170746780002
2005Q3,97.4924,103.150484872492,136.919097553416,7.04884744105592,95.7165673710053,89.3224024089972,91.0130609566127
2005Q4,98.7064,103.115274486547,134.057259102323,7.12554682839531,98.8087311803664,90.7374714448313,91.2628564081781
2006Q1,99.5619,103.851351531427,140.945433674794,7.13008408709808,102.119536302572,92.1822913967603,91.2731333265417
2006Q2,100.5378,104.447275023764,136.540303656563,7.25321705189974,105.334935113717,94.8809807815619,91.4743660993558
2006Q3,101.1083,105.186994427433,142.319186205498,7.35131935762474,108.732543859368,97.9838325832481,91.6646984043161
2006Q4,102.3101,106.179598107875,149.686053253575,7.41261500385588,112.877464008431,101.912719435195,91.7690721697865
2007Q1,102.9345,106.021401609885,149.472652109714,7.47401406297768,115.807766847525,104.740597338216,91.9401023758949
2007Q2,103.869,105.796532881876,146.468092809211,7.57029923288634,117.940756306341,107.073502201669,91.888646970696
2007Q3,104.3137,106.44540907421,141.199778208866,7.70034151609796,119.078928609892,108.4804755488,91.7966097318297
2007Q4,105.57,106.343019949304,137.345751773677,7.78244763798471,117.828032817912,109.8152172652,91.4467109215795
2008Q1,105.8623,106.809290706222,124.215002289007,7.98936803314336,117.169949230141,110.865365096504,90.8028771343228
2008Q2,104.3347,107.113236311129,116.432769357306,8.10265779386343,115.36458802029,111.267435206565,89.7376828550347
2008Q3,102.2268,107.466080969704,107.247795973184,8.21935016447465,113.171185865017,112.194280213213,88.1834594009535
2008Q4,101.5402,108.802732991936,102.208502739526,8.31535036940668,111.656875709795,112.618054917869,86.2987806096892
2009Q1,100.7866,110.102031544241,91.2324802518807,8.39462852563713,110.207531451803,112.494519054997,84.2390914016387
2009Q2,99.0774,110.193380732511,101.131183246713,8.47735124878706,109.338019005457,111.508106798104,82.4671468703108
2009Q3,99.4981,109.890611122195,108.262155314401,8.57311711621566,108.245272163694,110.302031014678,81.3014377780874
2009Q4,99.6361,109.216399484814,110.851210291188,8.60179653911281,108.432241478462,109.400859132924,80.5630839499632
2010Q1,99.9095,107.425328415386,107.604591725529,8.55276508586734,107.444130526016,108.053297628554,80.3517085599121
2010Q2,100.4285,106.879820598212,101.511817486439,8.63063532070776,107.990842613419,107.223879249786,80.2225201980833
2010Q3,99.8363,105.632945253298,107.579874985185,8.5947995115001,104.985679158416,106.041447300864,80.0713738901021
2010Q4,99.8257,105.249892628982,108.427843530875,8.62387318172506,104.779432560381,103.892087337312,79.9152173519026
2011Q1,98.5939,105.01386868591,112.41192927656,8.61903010831769,100.411666551676,101.103394662842,79.5743702586307
2011Q2,98.117,104.586539242832,118.857809024729,8.67258932624343,97.9926781098391,98.5698686880363,79.0398057587965
2011Q3,97.6481,103.828645410458,113.551901383013,8.68433137398971,94.9291775413042,96.410511554478,78.3765458161575
2011Q4,96.2254,102.123912987777,114.97677224725,8.72311158071011,91.1363936359693,94.0169839894003,77.4473481664154
2012Q1,95.8054,100.280132520945,114.254487882754,8.69979154330073,86.5075444566861,92.5277002713101,76.4806319985587
2012Q2,95.0184,98.4571650818664,107.554233101636,8.67459236135342,82.542688093947,89.6212758104622,75.5365664256624
2012Q3,94.0337,97.5774001648534,110.77955940657,8.66813120049273,78.7068895446882,87.9348018379012,74.6879048468492
2012Q4,91.9896,96.0663411971726,115.897689702148,8.43948043876392,77.5407306781442,86.1068089674839,74.1423067289297
2013Q1,91.1683,96.0420653434507,122.734321462688,8.74090208889691,72.4696823710262,84.853921663535,73.7434808198604
2013Q2,90.9996,95.9293545695811,127.029180820618,8.72188023790828,71.4209086134945,83.3547225757226,73.752643181491
2013Q3,91.1932,95.2876048913746,133.136290812885,8.75406005474079,71.4765432343386,81.0375648575837,73.8550919667844
2013Q4,91.7574,95.6734266933809,141.889311621644,8.73978367993454,71.1303801789944,79.5007872059426,74.2811940318643
2014Q1,91.7877,95.6569645562985,149.077850587785,8.71675015098022,71.0784498132554,77.0272825902548,74.7566154409545
2014Q2,92.4728,96.5502068623692,157.650950016044,8.74394578806429,71.7618619874815,75.8401889119786,75.317151245088
2014Q3,92.9377,97.2243160900088,158.461258642609,8.7748226005,71.8206770836593,74.9487414386972,75.8212170869973
2014Q4,93.5123,98.2181993210886,155.925230250638,8.75773692383356,72.6713703948856,74.6622154543267,76.3336562269603
2015Q1,94.3631,98.7204941169145,171.848429300608,8.88072628700564,72.7495480052592,74.3919075258398,76.9463493601116
2015Q2,94.952,98.8944784928025,166.882375191515,8.87920373392423,74.7010544205459,73.8387494588015,77.5993118875186
2015Q3,96.0657,99.8639290542311,160.444939377651,8.88634920548175,75.2316817371293,73.7305752857123,78.2856436461806
2015Q4,96.5043,100.705205978741,168.713846127884,8.91655447452201,75.9138692357268,74.3088911466188,78.9424651061893
2016Q1,97.4392,102.014397491461,164.869065245003,8.84698781209331,77.7666782594459,74.9635998313813,79.612492
2016Q2,98.0315,101.787976892863,163.576800652698,8.87309965167292,78.1750764671676,75.5397553810059,79.953983
2016Q3,98.7803,101.655491738776,166.991591613961,8.84812995219427,78.2334170782136,75.9550204816099,80.593584
2016Q4,99.1583,101.316813127036,168.193562582609,8.87617553598959,78.4416562961216,75.5799243556891,81.309001
2017Q1,99.5985,101.290083392444,172.517794290086,8.87676379384218,80.0165890658209,76.0588609752716,81.940274
2017Q2,100.4067,102.012216680775,174.286408736673,8.85815973425715,80.9263975212515,76.7652317590132,82.644402
2017Q3,101.1073,102.134150744378,171.331124634023,8.8703533010941,81.9783894639846,77.1528545834533,83.109309
2017Q4,101.6703,102.301733604709,172.749967890057,8.89027938865135,82.7822082915732,77.6910235416132,83.398388
