PA,PB,PC,QA,Y
100,100,100,100,100
102.419998168945,84.6399993896484,85.8499984741211,93.7399978637695,107.779998779297
89.1500015258789,97.870002746582,91.7600021362305,119.319999694824,111.129997253418
97.0500030517578,94.8300018310547,99.8300018310547,98.9400024414062,116.959999084473
105.26000213623,90.4499969482422,103.580001831055,99.5800018310547,118.529998779297
102.819999694824,111.660003662109,98.0699996948242,117.330001831055,127.160003662109
113.349998474121,94.1999969482422,104.660003662109,99.870002746582,133.309997558594
112.900001525879,94.6600036621094,100.099998474121,100.949996948242,134.740005493164
112.330001831055,94.1800003051758,103.309997558594,115.089996337891,153.679992675781
114.160003662109,86.8499984741211,129.009994506836,95.6600036621094,155.440002441406
102.930000305176,84.3399963378906,119.650001525879,106.220001220703,161.320007324219
97.7699966430664,76.1699981689453,118.300003051758,107.809997558594,164.440002441406
98.7699966430664,84.4199981689453,109.300003051758,134.440002441406,166.929992675781
117.400001525879,89.1800003051758,145.910003662109,101.309997558594,181.729995727539
111.529998779297,79.870002746582,131.440002441406,104.129997253418,188
112.300003051758,80.370002746582,110.580001831055,115.970001220703,188.740005493164
112.01000213623,80.6399993896484,135.399993896484,105.129997253418,189.130004882812
109.709999084473,85.1100006103516,133.160003662109,105.639999389648,192.800003051758
120.830001831055,59.6199989318848,145.899993896484,94.2699966430664,204.270004272461
96.4000015258789,71.6800003051758,153.220001220703,125.410003662109,208.779998779297
108.180000305176,72.0100021362305,146.770004272461,111.98999786377,216.619995117188
109.300003051758,51.0400009155273,140.25,93.0100021362305,217.800003051758
112.029998779297,82.3399963378906,137.610000610352,117.139999389648,222.110000610352
117.419998168945,76.9599990844727,130.229995727539,108.449996948242,222.309997558594
114.650001525879,75.8899993896484,152.850006103516,140.970001220703,231.130004882812
99.0800018310547,79.9700012207031,142.460006713867,136.550003051758,231.190002441406
117.440002441406,72.2399978637695,142.570007324219,133.529998779297,234.25
116,65.4700012207031,165.979995727539,93.8199996948242,241.949996948242
124.849998474121,66.3600006103516,170.580001831055,94.2200012207031,242.160003662109
122.690002441406,74.3300018310547,182.039993286133,117.339996337891,254.949996948242
