obs,PRSAL,YER,POPACT,PCS,PCR,HDYR,FWR,CPE,NFWR,HCOCR,URX,ERX,XTR,XTW,REER,MTR,DMTR,MRP,CIR,M2PIR,HHCR,ICC,PIR,QT,LTR,UCAP,PRCPE,CPI,YER_FTEE,PUCPE,CPICORE,ULC,TIPOIVA
1995Q1,7973.4,65.117574,16296.9977368627,1720802.50776332,66.9169,71.4043786030551,81.3888891444743,5.08999914692752,33.2071252078844,45.1407423990809,23.2893058999349,76.7712683067885,48.4107,44.5286284953395,99.4312653333333,44.149306,56.4500930452504,124.740709963324,66.6944022851508,55.159850480181,16.1487308214081,0.5,52.395594741561,1.75152383124439,6.02163594691737,79.04041,5.18567666341699,61.6865973333333,0.00491787432973341,5.56952691427019,63.201217,1034.99984051106,10.9261166236541
1995Q2,8035.2,65.565545,16341.4845531396,1730882.84731571,68.0361,71.7940540350482,82.6759735849338,5.1517041320596,33.3674426205998,45.249884325953,22.9269273527506,77.0588085304828,48.6151,45.3227696404794,101.897093333333,44.718205,56.5701215603564,123.225778989185,66.8450005127237,56.2932543570847,16.6171838326535,4.5,53.3855529298371,1.84568994232612,6.02163594691737,79.15918,5.23122451958925,62.3008536666667,0.00493259593900228,5.58656148200479,63.9403963333333,1044.42046252458,11.0680706118465
1995Q3,8013.6,65.877412,16394.0594648676,1741442.8994319,68.2965,72.250498345054,84.6394145808523,5.24079427157135,33.5384443034081,45.3020965998455,22.7720348195643,77.1880198584528,47.9128,45.8049267643143,102.698773333333,44.146917,56.3262882420361,122.343466999326,66.5057429509762,55.3333006838425,17.0317110971948,-9.33333333333333,54.5125822395847,1.95860411956702,6.02163594691737,78.31795,5.34511429119925,62.669642,0.0049595654563386,5.65896897597387,64.5962733333333,1056.70432575364,10.9951892192915
1995Q4,8056.9,66.341586,16451.344312075,1752524.40351454,68.8748,72.6609371999527,90.9616477559496,5.24227419218446,33.5121890018996,45.1625638496831,22.6017939598425,77.3918412721835,49.8204,46.4572569906791,103.327706666667,46.02295,57.4383256676366,119.756926657899,65.8000971816433,56.1290509232014,17.3539939085945,-12.3333333333333,55.8352762442307,1.99097691012644,6.02163594691737,78.89104,5.32959110180754,63.273768,0.00497921643387347,5.4938128383604,65.227852,1052.83115562549,10.9850741245345
1996Q1,8081.3,66.76964,16535.9121637029,1764479.75031139,68.4761,73.0488940752352,89.3703304474734,5.29804558730993,33.555107808534,44.838514747665,22.6159391536613,77.4787648867579,51.7335,47.7619174434088,104.565146666667,46.344652,58.6950383961293,121.452842245847,66.8550849430501,54.8408074019184,17.715749717438,-26.6666666666667,58.0679116771831,2.18401946618111,6.02357205557291,77.48348,5.36582232349476,63.946647,0.00501827392091873,5.90866583541147,65.8542063333333,1055.75057695136,11.0294083558496
1996Q2,8178.4,67.194536,16616.8347261416,1776183.43934849,69.8198,73.1242544426762,90.8842303742537,5.37057398434588,33.5420966467802,45.4721981501689,22.3760358853383,77.7222171053071,52.3029,48.3291611185087,103.706986666667,47.786313,59.0260702323407,118.396252869196,66.1308252003539,55.6541318161117,18.0214172708036,-9.66666666666667,59.180855682269,2.34894372463552,5.55110298227,77.78274,5.42975053272852,64.5747706666667,0.00502727338021846,5.87445175438596,66.3940566666667,1068.28763390474,11.0785841788367
1996Q3,8291.8,67.849174,16714.2279519762,1787966.35477809,70.1157,73.540650481806,90.6221125179722,5.4410722340357,33.6077104286173,45.5976982527371,21.8631536268967,78.071155997507,54.4224,49.2083888149135,103.399746666667,48.592058,60.0044025472152,117.867594864064,65.8990102746422,54.4333771797756,18.4972818550444,-13.5,60.2939102957216,2.28852444092254,5.06788568915075,77.86811,5.51529211852516,64.9404436666667,0.00502701909327327,5.9685008749757,66.827027,1082.36553971249,11.1745124118259
1996Q4,8425.2,68.120675,16787.9669411036,1799568.20696551,70.4004,73.7734391294844,96.7711381351466,5.44274122468265,33.7014120261377,45.9626797344214,21.4581125865706,78.4146207579611,55.6541,50.3428761651132,102.39011,49.565854,60.6300836444979,118.881447478514,65.5302276163546,54.7102498540765,19.069419655622,-18.1666666666667,60.6454315433698,2.62896808441227,4.08964328016629,76.3478800000001,5.51533602904239,65.347686,0.00499693196405648,5.81760396883842,67.2046213333333,1089.21659606993,11.1903207407539
1997Q1,8662,68.896156,16855.0654992075,1812010.08339292,70.9321,74.5750957704697,99.3564600439192,5.42961413503049,33.9535686827668,46.2668121541603,21.1928292431744,78.7990923624599,56.2758,51.4206391478029,100.496783333333,50.137946,61.7952335395951,121.457417909863,67.4506743152773,53.7863454073488,19.6747524037163,-26.8333333333333,62.9302452021047,2.96657594372224,4.32690827506039,78.9254,5.48424453930308,65.5707373333333,0.00500687891979099,6.03420796890184,67.509024,1084.43088439158,11.3823324749306
1997Q2,8688.2,69.525636,16926.4286593135,1825025.86994507,70.9567,75.1749740517468,107.009488208063,5.48597066070813,34.2551114423551,46.3471487023585,20.8904544360695,79.1463583041909,60.6846,53.2074567243675,99.3696486666667,53.608394,64.149804596546,119.789755173638,68.0705297669579,56.534840733899,20.4246467395358,-23.6666666666667,64.8815043172958,3.50264941169964,5.0202860261201,80.30692,5.57911801624521,65.6443746666667,0.0050139644031616,5.91839058644904,67.7848633333333,1094.13833437846,11.2150767713844
1997Q3,8798.9,70.228651,16981.239435639,1837750.65266084,71.2853,75.7654589713629,111.030295363141,5.5656286608501,34.450284017361,47.3019440137989,20.431708278214,79.6011252315509,64.2925,54.4553928095872,98.3149566666667,55.450874,65.7626967337938,120.015784167778,67.5768499332296,55.6504636289511,21.2831100450709,-27.8333333333333,67.0479862245285,3.75464488811274,4.4290779031789,80.28969,5.66845995781346,66.0904883333333,0.00503337377979731,6.02985187710725,68.1546123333333,1105.74515311959,11.20014937866
1997Q4,8931.7,71.243093,17069.9222160165,1851397.62393462,73.6129,76.2727082539974,109.822433453495,5.55617735686612,34.6697365532569,46.7681728154445,19.9264640958622,80.0119680484784,64.1127,54.9659121171771,99.0704986666667,57.907241,66.7936161541446,119.960339483438,68.801566470459,53.6733939318183,22.294585635189,-22.1666666666667,69.7311762394563,3.71837952513255,3.90976057861736,80.14507,5.66530093140278,66.6221223333333,0.00504143884230266,5.88379979875527,68.5697,1102.1015092446,11.3336877743026
1998Q1,9099,71.950986,17129.1119998146,1866450.64439318,73.4296,76.5969502340243,123.662992701447,5.52500977276204,35.0215824345414,47.6818788645293,19.2450118981931,80.5314904908374,65.2365,55.8167776298269,98.6717753333333,58.80581,68.3937865087323,119.37734531401,71.2535549832492,54.8332251458414,23.6412998257386,-9.66666666666667,73.3315855140886,4.85389129268959,3.33662862910276,80.94439,5.59157070574904,66.8209776666667,0.00503224129248846,6.18497976315395,68.9343423333333,1097.92226795824,11.1577225796384
1998Q2,9181.7,72.495169,17208.3508458927,1881571.14943498,74.5476,77.9216857718624,124.90729373577,5.60528289800838,35.7380899580519,48.1800331436421,18.9788604407309,80.9531229120775,66.3763,55.9302263648469,98.8677423333333,60.953382,69.3063037289735,115.166600723444,71.5907465188066,58.3011515667242,24.9929499152184,-10.6666666666667,75.0477527197631,5.36770099368119,3.08194490775462,82.21154,5.68679212668585,66.949421,0.00502204088560068,6.10883339545285,69.3124756666667,1116.13645242913,11.2517271207985
1998Q3,9301.5,73.364437,17266.5048063644,1898722.41762667,74.9606,78.1083961673599,114.438546748789,5.66283742101139,36.4474332681501,49.5479113649225,18.4205498528365,81.6856324542089,66.7469,55.8735019973369,100.061008333333,62.594796,70.8380501330376,115.456397594865,75.2960524156541,58.5716827676889,26.1130521351542,19.3333333333333,76.9459258513321,4.65929416567276,2.77831209809574,80.96943,5.74675676158437,67.3715563333333,0.00502640739116732,6.21441033445933,69.7375753333333,1126.61727956282,11.3180951925092
1998Q4,9381.9,74.135057,17323.5768284636,1916999.153431,76.5963,79.3514287681308,128.421591167318,5.67568235352254,37.2973614028008,51.5567462231799,17.7646747232101,82.4206572279057,66.7209,56.5258322237017,100.283563333333,65.374362,72.0597102100283,113.384323386361,77.3425498920796,56.9527297791213,27.1313190368412,33.8333333333333,79.5723256281829,4.9369186617045,2.79001979631056,81.03429,5.77243637865689,67.6325446666667,0.00502968601377252,6.09116272328708,70.1321566666667,1128.43671314295,11.3572877377816
