Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2020-12-31,3668.1,,,260.46900000000005,0.92,3668.1,,,33.43962664943931
2020-11-30,3548.992500000001,,,260.442,0.87,3549.3604237507793,,,32.40629251017464
2020-10-31,3418.701363636364,,,260.388,0.79,3419.7648335752815,,,31.27485819706897
2020-09-30,3365.5166666666664,58.85,98.80000000000001,260.28,0.68,3367.9605065698483,58.89273340248965,98.87174273858926,30.83207246558631
2020-08-31,3391.71,59.126666666666665,98.94333333333334,259.918,0.65,3398.900083834133,59.252009249070866,99.15308324163777,31.15169281411777
2020-07-31,3207.6190909090906,59.403333333333336,100.9388888888889,259.101,0.62,3224.5546601132382,59.716970717982576,101.47182546574504,29.59765131887846
2020-06-30,3104.6609090909087,59.68,99.23,257.797,0.73,3136.839925716746,60.29856794299391,100.25849358215962,28.836809713697278
2020-05-31,2919.615,59.64686786212671,104.93,256.394,0.67,2966.0179233328395,60.59486581269564,106.59770575754504,27.327050443495516
2020-04-30,2761.975238095238,59.61373572425342,111.30111111111111,256.389,0.66,2805.9274317206614,60.56238813038222,113.07228122111324,25.927358825280166
2020-03-31,2652.3936363636367,59.58060358638012,116.33,258.115,0.87,2676.583375898341,60.123976659786706,117.39092563392289,24.817168629099424
2020-02-29,3277.3142105263164,59.13373572425341,124.04333333333332,258.678,1.5,3300.0052385652402,59.543157942927365,124.90216790759169,30.729689264735743
2020-01-31,3278.2028571428577,58.686867862126704,131.75666666666666,257.971,1.76,3309.946544367945,59.25514800183076,133.03250059115175,30.985220300230694
2019-12-31,3176.7495238095235,58.24,139.47,256.974,1.86,3219.955216158611,59.032098811552935,141.36687536482293,30.331822322243294
2019-11-30,3104.9044999999996,57.900000000000006,137.28,257.208,1.81,3144.2698913350287,58.634082532425126,139.02049827377067,29.836867659083435
2019-10-31,2977.68,57.56,135.09,257.346,1.71,3013.815376652445,58.25851437364483,136.7293729453732,28.841122881953407
2019-09-30,2982.156,57.22,132.9,256.759,1.7,3025.246208171866,58.04679166066234,134.82031827511403,29.229520233035277
2019-08-31,2897.498181818182,56.83909158059271,133.69,256.558,1.63,2941.667981197235,57.70555330531656,135.72798591351668,28.705397371833076
2019-07-31,2996.1136363636365,56.45818316118542,134.48000000000002,256.571,1.63,3041.6326192360016,57.31593402921922,136.5231110296955,29.986685335042527
2019-06-30,2890.17,56.07727474177812,135.27,256.143,2.06,2938.9820909804303,57.02436402601754,137.55457549103437,29.28379627530627
2019-05-31,2854.71,55.69818316118541,134.97666666666666,256.092,2.4,2903.501315894289,56.650149437744275,137.28362225294038,29.24203093693985
2019-04-30,2903.8,55.319091580592705,134.68333333333334,255.548,2.53,2959.717478516757,56.38435231308953,137.2768839904832,30.13351717138752
2019-03-31,2803.98,54.94,134.39,254.202,2.57,2873.1082627988767,56.29446998843441,137.70320025019473,29.57619601478482
2019-02-28,2754.86,54.54333333333334,133.7233333333333,252.776,2.68,2838.701575070419,56.20330842326804,137.79307730955472,29.541548965131213
2019-01-31,2607.39,54.14666666666667,133.05666666666664,251.712,2.71,2698.100471610412,56.030416189931366,137.6856761298627,28.380164463547576
2018-12-31,2567.31,53.75,132.39,251.233,2.83,2661.691212499951,55.72599439564071,137.25701205653715,28.29185701207287
2018-11-30,2723.23,53.28,131.72333333333333,252.038,3.12,2814.325597211532,55.06228552837272,136.1296507272713,30.195583406705236
2018-10-31,2785.46,52.81,131.05666666666667,252.885,3.15,2868.995712438461,54.39376748324339,134.98704513909487,31.037961078006493
2018-09-30,2901.5,52.34,130.39,252.439,3.0,2993.795742733889,54.00491786134474,134.53766220750362,32.62289112050018
2018-08-31,2857.82,51.89,127.75333333333333,252.146,2.89,2952.152790764082,53.60281904134907,131.97029887446163,32.39027688030111
2018-07-31,2793.64,51.44,125.11666666666667,252.006,2.89,2887.4575095831055,53.16748553605867,129.31840134758698,31.886366962158974
2018-06-30,2754.35,50.99,122.48,251.989,2.91,2847.0401094889066,52.705928869911,126.60172912309666,31.630556496454595
2018-05-31,2701.49,50.66,120.13333333333333,251.588,2.976,2796.8519913906866,52.448286643242135,124.37401306898582,31.243615074864596
2018-04-30,2653.63,50.33,117.78666666666666,250.546,2.87,2758.728347169782,52.32334489474988,122.45166667997097,30.97017929332522
2018-03-31,2702.77,50.0,115.44,249.554,2.84,2820.98383167571,52.186901432154976,120.48911802655941,31.808409057643114
2018-02-28,2705.16,49.64333333333333,113.58666666666666,248.991,2.86,2829.8626056363487,51.93179428172103,118.82279070327844,32.03538233925028
2018-01-31,2789.8,49.28666666666666,111.73333333333332,247.867,2.58,2931.6384036600284,51.79248863301691,117.41405511826909,33.30734382803067
2017-12-31,2664.34,48.93,109.88,246.524,2.4,2815.0523902743757,51.69779887556588,116.09552708864048,32.086132007706
2017-11-30,2593.61,48.67666666666666,108.94666666666666,246.669,2.35,2738.710592291695,51.39990306848449,115.04173333495494,31.298913333880268
2017-10-31,2557.0,48.42333333333333,108.01333333333334,246.663,2.36,2700.1181085124244,51.133640675739784,114.05895866019632,30.920393290333838
2017-09-30,2492.84,48.17,107.08,246.819,2.2,2630.703235812479,50.83397846194986,113.00191849087796,30.168114410678907
2017-08-31,2456.22,47.85333333333334,106.06,245.519,2.21,2605.7827181603056,50.76719064512321,112.51814376891403,29.914959397497494
2017-07-31,2454.1,47.53666666666667,105.03999999999999,244.786,2.32,2611.329785608654,50.582255643705125,111.76972441234386,30.002220744018565
2017-06-30,2433.99,47.22,104.02,244.955,2.19,2588.144521687657,50.210635341185125,110.608011185728,29.748503240632754
2017-05-31,2395.35,46.94,102.77666666666667,244.733,2.3,2549.367756493812,49.9581783412944,109.38506695051343,29.313344980271435
2017-04-30,2359.31,46.660000000000004,101.53333333333333,244.524,2.3,2513.1566487952105,49.70262035628406,108.15415173970655,28.90424595627516
2017-03-31,2366.82,46.38,100.29,243.801,2.48,2528.6329366163395,49.55087230979366,107.14654989109975,29.086921742464646
2017-02-28,2329.91,46.153333333333336,98.37666666666667,243.603,2.42,2491.222718069975,49.34878708390291,105.18783426312486,28.655106525184138
2017-01-31,2275.12,45.92666666666667,96.46333333333334,242.839,2.43,2440.2926683111036,49.26092159826059,103.46652708172907,28.063573742124465
2016-12-31,2246.63,45.7,94.55,241.432,2.49,2423.777583211837,49.30346143013355,102.0053014927599,27.865098223923535
2016-11-30,2164.99,45.47666666666667,92.73,241.353,2.14,2336.4647645150467,49.078577394936055,100.07453965767985,26.85095353105627
2016-10-31,2143.02,45.25333333333333,90.91,241.729,1.76,2309.1572644573057,48.76159037599957,97.95778243404806,26.5251430850706
2016-09-30,2157.69,45.03,89.09,241.428,1.63,2327.8631998359765,48.58143657736469,96.11637096774196,26.727873346478543
2016-08-31,2170.95,44.84,88.36666666666667,240.849,1.56,2347.7995571914357,48.49274840252608,95.56517693658685,26.94887243372386
2016-07-31,2148.9,44.65,87.64333333333333,240.628,1.5,2326.087712568779,48.331619138254915,94.86997103412739,26.6940032560963
2016-06-30,2083.89,44.46,86.92,241.018,1.64,2252.067249790472,48.048078317802,93.93474960376406,25.84037292767051
2016-05-31,2065.55,44.266666666666666,86.75999999999999,240.229,1.81,2239.578664316132,47.99626356518156,94.06978524657723,25.69470992344997
2016-04-30,2075.54,44.07333333333334,86.6,239.261,1.81,2259.515041147534,47.97997609305321,94.27618960047815,25.92233754367388
2016-03-31,2021.95,43.88,86.44,238.132,1.89,2211.6107644079757,47.995984244032734,94.54815127744278,25.37229862018791
2016-02-29,1904.42,43.71666666666667,86.47,237.111,1.78,2092.0259835267034,48.02323152447589,94.9882309551223,24.002606777289763
2016-01-31,1918.6,43.553333333333335,86.5,236.916,2.09,2109.3375854733326,47.88318720559187,95.09939598845162,24.20616720387848
